Cnt,Datum,Temp,Humidity
1,2021-07-24 17:30:11,26.1,54.1
2,2021-07-24 17:30:20,26.0,54.1
3,2021-07-24 17:30:23,26.0,54.2
4,2021-07-24 17:30:26,25.9,54.2
5,2021-07-24 17:30:28,25.9,54.4
6,2021-07-24 17:30:34,25.9,54.4
7,2021-07-24 17:30:37,25.9,54.5
8,2021-07-24 17:30:39,25.9,54.6
9,2021-07-24 17:30:42,25.8,54.5
10,2021-07-24 17:30:45,25.8,54.6
11,2021-07-24 17:30:50,25.7,55.1
12,2021-07-24 17:30:58,25.7,55.7
13,2021-07-24 17:31:04,25.7,55.9
14,2021-07-24 17:31:06,25.7,56.0
15,2021-07-24 17:31:09,25.6,55.7
16,2021-07-24 17:38:44,25.8,56.1
17,2021-07-24 17:38:48,25.6,55.2
18,2021-07-24 17:38:53,25.7,55.3
19,2021-07-24 17:38:56,25.6,55.5
20,2021-07-24 17:38:59,25.6,55.7
21,2021-07-24 17:39:06,25.6,55.8
22,2021-07-24 17:39:09,25.6,55.7
23,2021-07-24 17:39:12,25.6,55.7
24,2021-07-24 17:39:15,25.6,55.7
25,2021-07-24 17:39:17,25.6,55.5
26,2021-07-24 17:39:20,25.6,55.3
27,2021-07-24 17:39:23,25.5,55.0
28,2021-07-24 17:39:28,25.5,55.0
29,2021-07-24 17:39:34,25.5,55.0
30,2021-07-24 17:39:36,25.5,55.1
31,2021-07-24 17:44:49,24.2,64.7
32,2021-07-24 17:44:53,24.1,65.0
33,2021-07-24 17:44:56,24.0,64.8
34,2021-07-24 17:44:58,24.1,64.9
35,2021-07-24 17:45:09,24.0,64.8
36,2021-07-24 17:45:14,24.0,64.8
37,2021-07-24 17:45:17,24.0,64.5
38,2021-07-24 17:45:25,24.0,64.7
39,2021-07-24 17:45:27,24.0,64.8
40,2021-07-24 17:45:30,24.0,64.9
41,2021-07-24 17:45:36,24.0,64.9
42,2021-07-24 17:45:38,24.0,64.9
43,2021-07-24 17:45:41,24.0,64.9
44,2021-07-24 17:45:44,24.0,64.9
45,2021-07-24 17:45:47,24.0,64.9
46,2021-07-24 17:47:43,24.0,64.9
47,2021-07-24 17:47:47,26.0,73.8
48,2021-07-24 17:47:50,25.9,69.3
49,2021-07-24 17:47:53,25.9,63.4
50,2021-07-24 17:48:03,25.9,62.8
51,2021-07-24 17:48:06,26.0,62.4
52,2021-07-24 17:48:08,25.9,61.9
53,2021-07-24 17:48:11,25.9,61.5
54,2021-07-24 17:48:14,25.9,61.3
55,2021-07-24 17:48:17,25.9,61.1
56,2021-07-24 17:48:20,25.9,61.0
57,2021-07-24 17:48:22,25.8,60.5
58,2021-07-24 17:48:28,25.8,60.2
59,2021-07-24 17:48:33,25.8,60.1
60,2021-07-24 17:48:38,25.7,60.0
61,2021-07-24 19:57:35,24.0,68.5
62,2021-07-24 19:57:43,24.0,68.7
63,2021-07-24 19:57:46,24.0,68.5
64,2021-07-24 19:57:49,24.0,67.8
65,2021-07-24 19:57:59,12.0,3310.6
66,2021-07-24 19:58:04,24.0,67.5
67,2021-07-24 19:58:10,24.0,67.5
68,2021-07-24 19:58:13,24.0,67.5
69,2021-07-24 19:58:15,24.0,67.4
70,2021-07-24 19:58:18,24.0,67.4
71,2021-07-24 19:58:21,24.0,67.4
72,2021-07-24 19:58:24,24.0,67.3
73,2021-07-24 19:58:29,24.0,67.3
74,2021-07-24 19:58:37,24.0,67.2
75,2021-07-24 19:58:42,24.0,67.2
76,2021-07-24 19:58:45,24.0,67.2
77,2021-07-24 19:58:48,24.0,67.2
78,2021-07-24 19:58:51,24.0,67.1
79,2021-07-24 19:58:53,24.0,67.0
80,2021-07-24 19:58:59,24.1,67.1
81,2021-07-24 19:59:02,24.0,67.1
82,2021-07-24 19:59:04,24.0,67.1
83,2021-07-24 19:59:07,24.0,67.1
84,2021-07-24 19:59:10,24.0,67.1
85,2021-07-24 19:59:13,24.0,67.2
86,2021-07-24 19:59:16,24.0,67.1
87,2021-07-24 19:59:21,24.0,67.2
88,2021-07-24 19:59:24,24.0,67.2
89,2021-07-24 19:59:27,24.0,67.3
90,2021-07-24 19:59:32,24.0,67.3
91,2021-07-24 19:59:35,24.0,67.3
92,2021-07-24 19:59:38,24.0,67.2
93,2021-07-24 19:59:40,24.0,67.2
94,2021-07-24 19:59:46,24.0,67.2
95,2021-07-24 19:59:49,24.0,67.2
96,2021-07-24 19:59:52,24.0,67.2
97,2021-07-24 19:59:54,24.0,67.2
98,2021-07-24 19:59:57,24.0,67.3
99,2021-07-24 20:00:03,24.0,67.2
100,2021-07-24 20:00:05,24.0,67.1
101,2021-07-24 20:00:13,24.0,67.0
102,2021-07-24 20:00:21,24.0,67.0
103,2021-07-24 20:00:24,24.0,67.1
104,2021-07-24 20:00:27,24.0,67.1
105,2021-07-24 20:00:30,24.0,67.2
106,2021-07-24 20:00:40,24.0,67.2
107,2021-07-24 20:00:48,24.0,67.2
108,2021-07-24 20:00:51,24.0,67.2
109,2021-07-24 20:00:54,24.1,67.3
110,2021-07-24 20:00:57,24.0,67.3
111,2021-07-24 20:01:00,24.0,67.3
112,2021-07-24 20:01:05,24.0,67.3
113,2021-07-24 20:01:08,24.0,67.3
114,2021-07-24 20:01:16,24.0,67.3
115,2021-07-24 20:01:19,24.1,67.3
116,2021-07-24 20:01:22,22.5,67.2
117,2021-07-24 20:01:25,24.0,67.1
118,2021-07-24 20:01:28,24.0,67.0
119,2021-07-24 20:01:31,24.1,67.0
120,2021-07-24 20:01:33,24.1,67.0
121,2021-07-24 20:01:39,24.1,67.0
122,2021-07-24 20:01:42,24.1,67.0
123,2021-07-24 20:01:45,24.1,67.0
124,2021-07-24 20:01:48,24.1,66.9
125,2021-07-24 20:01:51,24.1,66.9
126,2021-07-24 20:01:54,24.1,66.9
127,2021-07-24 20:01:59,24.0,66.9
128,2021-07-24 20:02:04,24.1,67.0
129,2021-07-24 20:02:07,24.1,67.0
130,2021-07-24 20:02:18,24.1,67.0
131,2021-07-24 20:02:31,24.1,67.0
132,2021-07-24 20:02:34,24.1,67.0
133,2021-07-24 20:02:37,24.1,67.3
134,2021-07-24 20:02:42,24.1,67.3
135,2021-07-24 20:02:45,24.1,67.3
136,2021-07-24 20:02:48,12.0,3310.4
137,2021-07-24 20:02:54,24.1,67.2
138,2021-07-24 20:02:57,24.1,67.2
139,2021-07-24 20:03:05,24.0,67.1
140,2021-07-24 20:03:08,24.1,67.1
141,2021-07-24 20:03:11,24.1,67.1
142,2021-07-24 20:03:16,24.1,67.1
143,2021-07-24 20:03:19,24.1,67.1
144,2021-07-24 20:03:25,24.1,67.1
145,2021-07-24 20:03:30,24.1,67.1
146,2021-07-24 20:03:36,24.1,67.1
147,2021-07-24 20:03:44,24.1,67.0
148,2021-07-24 20:03:47,24.1,67.0
149,2021-07-24 20:03:50,24.1,67.0
150,2021-07-24 20:03:58,24.1,67.0
151,2021-07-24 20:04:01,24.1,66.9
152,2021-07-24 20:04:09,24.1,66.9
153,2021-07-24 20:04:12,24.1,66.9
154,2021-07-24 20:04:17,24.1,66.9
155,2021-07-24 20:04:20,24.1,67.0
156,2021-07-24 20:04:23,24.1,67.0
157,2021-07-24 20:04:26,24.1,67.0
158,2021-07-24 20:04:29,24.1,67.0
159,2021-07-24 20:04:32,24.1,67.0
160,2021-07-24 20:04:38,24.1,67.0
161,2021-07-24 20:04:41,24.1,67.0
162,2021-07-24 20:04:46,24.1,67.0
163,2021-07-24 20:04:52,24.1,67.0
164,2021-07-24 20:04:55,24.1,67.0
165,2021-07-24 20:04:58,24.1,67.0
166,2021-07-24 20:05:01,24.1,67.0
167,2021-07-24 20:05:07,24.1,67.0
168,2021-07-24 20:05:12,24.1,67.0
169,2021-07-24 20:05:18,24.1,67.0
170,2021-07-24 20:05:26,24.1,67.3
171,2021-07-24 20:05:31,24.1,67.4
172,2021-07-24 20:05:34,24.1,67.4
173,2021-07-24 20:05:38,24.1,67.3
174,2021-07-24 20:05:41,24.1,67.3
175,2021-07-24 20:05:44,24.0,67.2
176,2021-07-24 20:05:47,24.1,67.2
177,2021-07-24 20:05:55,24.1,67.2
178,2021-07-24 20:05:58,24.1,67.1
179,2021-07-24 20:06:01,24.1,67.1
180,2021-07-24 20:06:04,24.1,67.0
181,2021-07-24 20:06:07,24.1,67.0
182,2021-07-24 20:06:13,24.1,67.0
183,2021-07-24 20:06:21,24.1,67.0
184,2021-07-24 20:06:25,24.0,66.9
185,2021-07-24 20:06:33,24.1,67.0
186,2021-07-24 20:06:36,24.1,67.2
187,2021-07-24 20:06:42,24.1,67.1
188,2021-07-24 20:06:45,24.1,67.1
189,2021-07-24 20:06:48,24.1,67.1
190,2021-07-24 20:06:51,24.1,67.1
191,2021-07-24 20:06:54,24.1,67.3
192,2021-07-24 20:07:02,24.1,67.3
193,2021-07-24 20:07:05,24.1,67.5
194,2021-07-24 20:07:08,24.1,67.5
195,2021-07-24 20:07:14,24.1,67.5
196,2021-07-24 20:07:17,24.1,67.4
197,2021-07-24 20:07:20,24.1,67.3
198,2021-07-24 20:07:26,24.1,67.2
199,2021-07-24 20:07:29,24.1,67.2
200,2021-07-24 20:07:32,24.1,67.1
201,2021-07-24 20:07:36,24.1,67.1
202,2021-07-24 20:07:39,24.1,67.0
203,2021-07-24 20:07:42,24.1,67.0
204,2021-07-24 20:07:45,24.1,67.0
205,2021-07-24 20:07:48,24.1,67.0
206,2021-07-24 20:07:51,24.0,66.9
207,2021-07-24 20:07:57,24.1,66.9
208,2021-07-24 20:08:00,24.1,66.8
209,2021-07-24 20:08:09,24.1,66.8
210,2021-07-24 20:08:12,24.1,66.7
211,2021-07-24 20:08:17,24.1,66.7
212,2021-07-24 20:08:21,24.1,66.7
213,2021-07-24 20:08:24,24.1,66.6
214,2021-07-24 20:08:30,24.1,66.6
215,2021-07-24 20:08:38,24.1,66.6
216,2021-07-24 20:08:56,24.1,66.6
217,2021-07-24 20:08:59,24.1,66.7
218,2021-07-24 20:09:05,24.1,66.7
219,2021-07-24 20:09:11,24.1,66.6
220,2021-07-24 20:09:17,24.1,66.6
221,2021-07-24 20:09:25,24.1,66.5
