Cnt,Zeit,Temp,Humidity,Boden1,Boden2,Boden3,Boden4
1,15:12:58,22.8,42.3,17611,16460,17744,4739
2,15:13:02,22.8,42.3,17609,16458,17745,4686
3,15:13:04,22.8,42.3,17608,16468,17744,4699
4,15:13:16,22.8,42.3,17610,16495,17745,4703
5,15:13:17,22.7,42.2,17607,16491,17744,4788
6,15:13:19,22.8,42.3,17608,16494,17744,4704
7,15:14:01,22.7,42.2,17610,16490,17745,4741
8,15:14:02,22.8,42.3,17610,16494,17745,4703
9,15:14:04,22.8,42.3,17614,16497,17746,4704
10,15:14:06,22.8,42.3,17610,16495,17745,4700
11,15:14:07,22.8,42.2,17614,16499,17747,4694
12,15:14:09,22.8,42.2,17606,16493,17744,4695
13,15:14:21,22.8,42.2,17608,16495,17744,4691
14,15:14:22,22.8,42.2,17608,16493,17742,4696
15,15:14:26,22.8,42.2,17610,16491,17745,4770
16,15:14:28,22.8,42.2,17605,16489,17740,4765
17,15:14:30,22.8,42.2,17613,16498,17745,4707
18,15:14:41,22.8,42.2,17609,16495,17745,4766
19,15:14:45,22.8,42.2,17606,16494,17742,4751
20,15:14:52,22.8,42.2,17609,16495,17745,4693
21,15:14:54,22.8,42.2,17608,16494,17744,4764
22,15:14:55,22.8,42.2,17612,16498,17746,4696
23,15:14:57,22.8,42.2,17602,16493,17738,4755
24,15:14:58,22.8,42.2,17611,16497,17746,4721
25,15:15:05,22.8,42.2,17608,16498,17744,4715
26,15:15:07,22.8,42.2,17608,16497,17743,4730
27,15:15:08,22.8,42.2,17611,16502,17746,4697
28,15:15:10,22.8,42.2,17609,16497,17745,4691
29,15:15:12,22.8,42.2,17607,16494,17743,4764
30,15:15:16,22.8,42.2,17612,16498,17746,4687
31,15:15:27,22.9,42.2,17609,16494,17744,4692
32,15:15:29,22.8,42.1,17612,16502,17744,4709
33,15:15:31,22.8,42.1,17609,16497,17745,4686
34,15:15:32,22.8,42.1,17609,16501,17743,4711
35,15:15:34,22.8,42.1,17606,16498,17738,4771
36,15:15:43,22.9,42.1,17610,16501,17744,4768
37,15:15:47,22.8,42.1,17612,16503,17744,4700
38,15:15:56,22.9,42.1,17611,16499,17745,4698
39,15:16:01,22.8,42.1,17610,16493,17743,4706
40,15:16:05,22.8,42.1,17615,16495,17746,4685
41,15:16:11,22.9,42.1,17611,16498,17745,4698
42,15:16:15,22.8,42.1,17612,16498,17745,4687
43,15:16:17,22.9,42.1,17614,16506,17745,4773
44,15:16:19,22.9,42.1,17611,16501,17742,4709
45,15:16:20,22.8,42.1,17608,16497,17741,4696
46,15:16:24,22.9,42.1,17610,16500,17743,4729
47,15:16:26,22.9,42.1,17611,16499,17743,4697
48,15:16:28,22.8,42.1,17614,16501,17744,4761
49,15:16:29,22.9,42.1,17610,16500,17743,4769
50,15:16:33,22.9,42.1,17611,16503,17744,4694
51,15:16:35,22.9,42.1,17615,16502,17745,4692
52,15:16:39,22.8,42.0,17610,16503,17742,4704
53,15:16:41,22.9,42.0,17614,16504,17745,4731
54,15:16:45,22.9,42.0,17610,16503,17742,4710
55,15:16:57,22.9,42.0,17611,16500,17745,4687
56,15:17:01,22.9,41.9,17614,16497,17745,4693
57,15:17:02,22.9,42.0,17611,16500,17743,4746
58,15:17:04,22.9,41.9,17615,16505,17744,4697
59,15:17:13,22.9,41.9,17610,16505,17741,4706
60,15:17:15,22.9,41.9,17607,16501,17740,4702
61,15:17:16,22.8,41.9,17614,16501,17744,4767
62,15:17:18,22.9,41.9,17610,16501,17743,4701
63,15:17:22,22.9,41.9,17605,16496,17739,4698
64,15:17:24,22.9,41.9,17614,16503,17743,4772
65,15:17:28,22.9,41.9,17605,16495,17740,4694
66,15:17:29,22.9,41.9,17614,16501,17745,4754
67,15:17:34,22.9,41.9,17610,16498,17742,4700
68,15:17:35,22.9,41.9,17611,16498,17744,4759
69,15:17:37,22.9,41.9,17613,16502,17744,4705
70,15:17:38,22.8,41.9,17611,16496,17745,4697
71,15:17:40,22.9,41.9,17607,16491,17742,4771
72,15:17:44,22.9,41.9,17614,16501,17745,4730
73,15:17:53,22.8,41.8,17609,16500,17744,4773
74,15:18:00,22.8,41.9,17612,16505,17747,4686
75,15:18:02,22.8,41.8,17608,16498,17744,4712
76,15:18:13,22.8,41.9,17608,16497,17746,4691
77,15:18:15,22.8,41.9,17606,16497,17743,4774
78,15:18:22,22.8,41.9,17607,16501,17745,4708
79,15:18:23,22.8,41.9,17611,16501,17747,4705
80,15:18:30,22.8,41.9,17607,16501,17745,4729
81,15:18:32,22.8,41.9,17607,16499,17745,4732
82,15:18:38,22.8,42.0,17611,16499,17747,4729
83,15:18:40,22.8,42.0,17604,16496,17744,4707
84,15:18:44,22.8,42.0,17607,16499,17746,4737
85,15:18:51,22.8,42.0,17611,16504,17748,4704
86,15:18:57,22.8,42.0,17606,16496,17746,4745
87,15:18:59,22.7,41.9,17612,16502,17749,4687
88,15:19:00,22.7,41.9,17608,16497,17746,4775
89,15:19:02,22.8,42.0,17608,16495,17748,4698
90,15:19:04,22.7,42.0,17611,16502,17748,4704
91,15:19:05,22.7,42.0,17608,16497,17748,4699
92,15:19:07,22.8,42.1,17611,16497,17748,4688
93,15:19:09,22.7,42.0,17606,16499,17743,4763
94,15:19:10,22.7,42.0,17608,16499,17746,4713
95,15:19:12,22.7,42.0,17613,16503,17750,4694
96,15:19:18,22.7,42.0,17608,16507,17747,4713
97,15:19:23,22.7,42.0,17605,16500,17746,4773
98,15:19:24,22.7,42.0,17611,16504,17748,4700
99,15:19:26,22.7,42.0,17608,16498,17748,4713
100,15:19:27,22.7,42.0,17610,16503,17748,4693
101,15:19:29,22.7,42.1,17610,16502,17748,4770
102,15:19:36,22.7,42.1,17607,16509,17747,4707
103,15:19:37,22.7,42.1,17610,16508,17748,4700
104,15:19:39,22.7,42.1,17607,16505,17749,4693
105,15:19:40,22.7,42.1,17607,16504,17747,4767
106,15:19:42,22.7,42.1,17610,16512,17749,4702
107,15:19:46,22.7,42.1,17607,16507,17748,4743
108,15:19:53,22.7,42.1,17610,16513,17749,4705
109,15:19:57,22.7,42.1,17602,16498,17746,4694
110,15:19:59,22.7,42.1,17605,16505,17747,4743
111,15:20:03,22.7,42.6,17603,16498,17745,4729
112,15:20:12,22.7,42.2,17605,16501,17747,4705
113,15:20:16,22.6,42.1,17606,16508,17747,4701
114,15:20:18,22.7,42.2,17609,16510,17749,4695
115,15:20:22,22.7,42.2,17604,16503,17747,4705
116,15:20:23,22.7,42.2,17609,16505,17748,4734
117,15:20:25,22.6,42.2,17604,16502,17747,4694
118,15:20:27,22.6,42.2,17606,16499,17749,4696
119,15:20:28,22.7,42.2,17603,16501,17746,4709
120,15:20:35,22.7,42.2,17606,16504,17748,4683
121,15:27:58,24.8,36.1,12006,11214,9900,4645
122,15:27:59,24.9,36.0,12016,11204,9940,4636
123,15:28:03,24.9,35.9,11997,11211,9901,4724
124,15:28:10,24.8,38.0,11976,11182,9901,4730
125,15:28:12,24.9,37.2,11975,11206,9886,4648
126,15:28:16,24.9,36.4,11968,11175,9883,4726
127,15:28:25,24.9,34.9,11940,11149,9884,4637
128,15:28:29,24.7,33.7,11930,11161,9867,4641
129,15:28:33,24.6,32.9,11906,11181,9862,4657
130,15:28:35,24.5,32.4,11917,11130,9891,4637
131,15:28:37,24.5,32.5,11910,11127,9892,4638
132,15:28:38,24.5,32.4,11907,11121,9897,4645
133,15:28:47,24.2,31.5,11865,11162,9855,4681
134,15:28:51,24.1,31.7,11874,11099,9895,4654
135,15:28:53,24.0,31.5,18795,10868,9642,4728
136,15:28:55,23.8,31.6,17470,10685,9506,4653
137,15:29:09,23.6,33.2,16054,10635,6998,4655
138,15:29:13,23.5,34.2,16038,10607,7011,4715
139,15:29:15,23.6,34.8,16061,10617,6993,4655
140,15:29:19,23.6,34.7,15959,10624,6968,4655
141,15:29:20,23.6,34.8,15899,10598,7016,4651
142,15:29:25,23.6,35.3,15909,10617,6980,4678
143,15:29:26,23.6,35.2,15926,10617,6965,4648
144,15:29:28,23.6,35.0,15910,10596,6991,4643
145,15:29:34,23.7,35.4,15931,10608,6970,4696
146,15:29:36,23.7,35.2,15953,10594,6969,4647
147,15:29:48,23.6,34.2,16225,10577,6900,4687
148,15:29:49,23.6,34.2,16263,10552,6915,4646
149,15:29:54,23.6,34.4,16358,10564,6935,4643
150,15:29:55,23.6,34.3,16366,10549,6957,4649
151,15:29:59,23.5,34.3,16388,10554,6922,4644
152,15:30:03,23.5,34.1,16288,10549,6941,4697
153,15:30:05,23.5,34.4,16246,10570,6917,4669
154,15:30:14,23.5,34.3,16041,10528,6985,4650
155,15:30:16,23.4,33.7,16014,10531,6981,4695
156,15:30:20,23.4,33.5,16007,10519,7020,4647
157,15:30:22,23.4,33.7,16044,10551,6995,4673
158,15:30:23,23.4,34.1,16041,10512,7035,4647
159,15:30:25,23.4,34.4,16082,10535,7031,4705
160,15:30:26,23.4,34.5,16080,10527,7062,4703
161,15:30:28,23.4,34.6,16093,10518,7059,4643
162,15:30:30,23.4,34.8,16104,10517,7079,4682
163,15:30:34,23.4,35.5,16165,10534,7051,4652
164,15:30:35,23.4,35.6,16215,10536,7079,4654
165,15:30:39,23.5,36.4,16167,10516,7123,4695
166,15:30:41,23.5,36.8,16091,10531,7120,4694
167,15:30:43,23.5,36.8,16062,10525,7126,4691
168,15:30:44,23.6,36.8,16029,10532,7118,4673
169,15:30:46,23.5,36.8,15961,10536,7138,4659
170,15:30:47,23.6,36.6,15911,10541,7150,4660
171,15:30:52,23.6,36.1,15999,10500,7177,4644
172,15:30:53,23.6,35.8,15982,10529,7143,4671
173,15:30:55,23.6,35.7,15955,10546,7167,4653
174,15:30:59,23.6,35.8,15838,10503,7201,4648
175,15:31:06,23.7,35.3,15838,10512,7207,4648
176,15:31:07,23.7,35.6,16324,10500,7204,4644
177,15:31:16,23.5,34.1,16165,10538,7215,4659
178,15:31:21,23.5,34.5,16154,10530,7234,4703
179,15:31:27,23.6,35.4,16083,10511,7264,4710
180,15:31:29,23.5,35.6,16111,10523,7251,4675
181,15:31:33,23.6,35.6,16126,10491,7308,4693
182,15:31:37,23.6,35.5,16134,10484,7311,4646
183,15:31:39,23.6,35.2,16081,10499,7306,4710
184,15:31:45,23.6,34.7,16203,10512,7289,4697
185,15:31:52,23.6,35.2,16142,10510,7311,4693
186,15:31:54,23.6,35.7,16114,10520,7308,4655
187,15:31:55,23.6,36.0,16106,10502,7347,4653
188,15:31:59,23.7,36.2,15834,10504,7389,4701
189,15:32:01,23.7,36.2,15787,10500,7351,4650
190,15:32:03,23.7,36.6,15810,10485,7381,4639
191,15:32:07,23.7,36.8,15387,10509,7332,4655
192,15:32:16,23.8,35.9,15607,10489,7362,4710
193,15:32:18,23.8,35.5,15498,10498,7373,4679
194,15:32:19,23.8,35.7,15522,10501,7381,4652
195,15:32:23,23.8,36.1,15631,10486,7448,4704
196,15:32:25,23.9,36.6,15611,10458,7484,4645
197,15:32:29,23.9,36.9,16051,10457,7494,4658
198,15:32:36,24.0,37.4,16213,10470,7484,4706
199,15:32:42,24.0,36.5,16324,10483,7428,4667
200,15:32:44,24.1,36.4,16318,10481,7419,4655
201,15:32:46,24.1,36.2,16292,10447,7463,4641
202,15:32:47,24.1,36.2,16271,10442,7518,4644
203,15:32:49,24.1,36.4,16279,10446,7425,4696
204,15:32:50,24.2,36.4,16282,10470,7406,4704
205,15:32:52,24.2,36.4,16279,10443,7394,4649
206,15:32:54,24.2,36.2,16278,10451,7417,4703
207,15:32:58,24.2,35.9,16266,10442,7423,4689
208,15:32:59,24.2,35.9,16246,10447,7408,4641
209,15:33:01,24.2,35.9,16275,10437,7438,4687
210,15:33:05,24.2,35.7,16208,10431,7392,4706
211,15:33:12,24.3,35.8,16166,10453,7393,4668
212,15:33:13,24.4,35.7,16185,10416,7436,4649
213,15:33:20,24.4,35.6,16078,10434,7420,4641
214,15:33:22,24.5,35.6,15998,10436,7421,4707
215,15:33:23,24.4,35.5,15919,10411,7447,4644
216,15:33:30,24.5,35.2,15847,10414,7409,4647
217,15:33:42,24.5,34.0,15846,10410,7353,4654
218,15:33:48,24.4,34.3,16418,10375,7354,4637
219,15:33:50,24.4,34.1,16405,10366,7373,4641
220,15:33:51,24.4,34.0,16378,10387,7344,4702
221,15:33:53,24.4,34.0,16356,10369,7353,4642
222,15:34:00,24.3,34.0,16314,10367,7349,4704
223,15:34:01,24.3,34.2,16291,10389,7325,4652
224,15:34:03,24.3,34.6,16304,10358,7384,4642
225,15:34:17,24.3,35.4,16376,10335,7382,4645
226,15:34:19,24.3,35.8,16400,10349,7374,4708
227,15:34:20,24.3,36.1,16407,10376,7338,4653
228,15:34:25,24.4,36.6,16431,10337,7366,4697
229,15:34:26,24.4,36.7,16473,10363,7358,4693
230,15:34:38,24.6,36.3,16283,10364,7350,4651
